604,alexandrecenis,bearlytech
605,alexanerenaut,bearlytech
606,alexbaca,dcchamber
607,alexbartzo,bigdatatweetbot
608,alexbooks00,nxtoli
609,alexbtlv,wef
610,alexcstrong,exagolo
611,alexdotwang,wef
612,alexfirrincieli,bearlytech
613,alexgelbak,wef
614,alexgilbertson,thinkbigkc
615,alexgodwinrpi,bigdatatweetbot
616,alexiamcclure1,wef
617,alexisangelus,akwyz
618,alexishenfer,intel_la
619,alexisromu,intel_la
620,alexius_bayger,fndraising
621,alexkomasng,dcchamber
622,alexmcqw,-1
623,alexrkiernan,-1
624,alexscroxton,bigdatatweetbot
625,alexseo10,faitelandalucia
626,alexusgo,msftcitynext
627,alexvrd78,bearlytech
628,alf70moreno,intel_la
629,alfa3276,reichental
630,alfahadi,h_u_i_r
631,alfaleh5,-1
632,alfarotf,intel_la
633,alfarusan2001,dcchamber
634,alfcomart,wef
635,alfe974,rslnmag
636,alfesteban,bernadet232
637,alfonso4ab,-1
638,alfonso_abril,cotec_innova
639,alfonsogarciap,tutouhiaalcalde
640,algerparismag,-1
641,algomost,bigdatatweetbot
642,algore,sureshkito
643,ali1997127,intel
644,ali_ghazali,amadumoole
645,alia_mmastura,nadiaazlan
646,alibielsa,iambientecities
647,alice_777,journaldunet
648,alicelipowicz,dcchamber
649,alicesmith121,bernadet232
650,alicia_mancheno,intel_la
651,aliciaasin,hdscorp
652,aliciadavara,-1
653,alicialamalicia,-1
654,alidpr,narendramodi
655,alifrugal,pierremetivier
656,alikhanimran_ak,-1
657,alinadeniau,wef
658,alinaeirimia,msftcitynext
659,alinelevaillant,bearlytech
660,alirebaie,reworkyulia
661,alisdaniela,ieeesmartcities
662,aliseaesco,-1
663,alison_sander,_adrianbrown
664,alisonand,fabbriflav2
665,alisonjanereid,michelevianello
666,alisonjardine,-1
667,aliuddinaquil,narendramodi
668,alivb1,gazzema
669,aliyu_a_attah,atariq7
670,alizardx,ireneberns
671,all_trends_it,fndraising
672,allabout5g,-1
673,allangoode,msftcitynext
674,allawishus,bigdatatweetbot
675,allbetson,pray_4_real
676,allceruz,craigbrownphd
677,allegory_io,alvaroanguix
678,allenweiner,nextenergymi
679,allerint,chaireanmt
680,alleywatchaus,wef
681,allhailspunk,dnasty___
682,allinjf,erdf
683,allisonjromero,reichental
684,alliyapatel,bigdatatweetbot
685,alllahdin,-1
686,allpaymentsexpo,msftcitynext
687,allseenalliance,thinkbigkc
688,allwynmichael,-1
689,alma_lbc,wef
690,almahdi9249,amitenterprise
691,almannajar,intel
692,almaxanalytics,ispeakanalytics
693,almazormjesus,faitelandalucia
694,almazul0151,kenneth_sc
695,almostinfamous,-1
696,almualgeld,amitenterprise
697,aln2227,journaldunet
698,alnitakt,bigdatatweetbot
699,alnz_jhrah,intel
700,alo6solh,craigbrownphd
701,alocora1alocora,hdscorp
702,alokakmalok,exagolo
703,alokch,alokch
704,alokgbc,skull_baba
705,alondra5698,intel_la
706,alonso_goya,ieeesmartcities
707,alonsostrike,bearlytech
708,alpha_tv,sureshkito
709,alphafemale18,-1
710,alphr,-1
711,alpierre13,erdf
712,alrufaydi,wef
713,altaicolevante,-1
714,altaide_jf,bearlytech
715,altasa2005,tutouhiaalcalde
716,alten_france,bearlytech
717,alternitetweet,-1
718,altertechnology,-1
719,altheaabillins,altheaabillins
720,altheaconseil,journaldunet
721,altq42,-1
722,altran_es,-1
723,altravelproject,h_u_i_r
724,alue_dach,-1
725,alvarezgaitan,msftcitynext
726,alvaroalegriam,bigdatatweetbot
727,alvaroanguix,alvaroanguix
728,alvarogut,-1
729,alvaropaste,akwyz
730,alwaerh,gazzema
731,alyssa_ngn,dhcmumbai
732,am9mufc,footyaccums
733,am_kopanski,-1
734,ama_marketing,-1
735,amacostp,sureshkito
736,amadorabelm,intel_la
737,amadumoole,amadumoole
738,amal930586,craigbrownphd
739,amalalberga,smartcityexpo
740,amalkumarjhajha,narendramodi
741,aman93deep,narendramodi
742,amanciobouza,-1
743,amanda_clack,c40cities
744,amandajobbins,vossmanvoss
745,amandi_82,amandi_82
746,amannama,-1
747,amanyad2710,skull_baba
748,amarghuman,h_u_i_r
749,amarinmoran,scepuebla
750,amartins61,fndraising
751,amazingchevvolt,jdrakehamilton
752,amba_ashtekar,dhcmumbai
753,amber_vas,-1
754,amberchief12,perthandkinross
755,amberrishi,skull_baba
756,ambiente_mm,wef
757,ambtenaar20,reichental
758,amecboard,michelevianello
759,amel_varalc,attbusiness
760,amelianavarroa,intel
761,ameliaricou,iambientecities
762,ameliegyrard,wef
763,amerchishti,wef
764,americanturkish,dhcmumbai
765,ameryste,bearlytech
766,ametic_es,h_u_i_r
767,ameyabapat,narendramodi
768,amfrenchtech,bearlytech
769,amikl_,gazzema
770,amina_belkhir,bearlytech
771,aminechigani,currentbyge
772,amirulrozaiman,nadiaazlan
773,amisvesubie,akwyz
774,amit30980,skull_baba
775,amit_chatterjee,smartcityexpo
776,amitabhk87,sureshkito
777,amitangshu,stepscentre
778,amitavaggn,michelevianello
779,amitc17,skull_baba
780,amitenterprise,amitenterprise
781,amitrathaur001,alokch
782,amitshah,narendramodi
783,amitsingh1234m1,bernadet232
784,amittwitr,-1
785,amizere,-1
786,ammanaria,-1
787,amolanor,-1
788,amolrs49,-1
789,amoltikam,iasura_
790,amonck,exagolo
791,amormariaamor25,zanoni
792,ampatard,journaldunet
793,ampavocat,gazzema
794,amplify285,-1
795,amricapalma1,hdscorp
796,amrithgiridhar,narendramodi
797,ams_institute,joannettepolo
798,amsabri7,skull_baba
799,amsalshammari,bigdatatweetbot
800,amshakir,wef
801,amsterdamgerman,-1
802,amsterdamnl,oceaanfietser
803,amybioxham,kenneth_sc
804,amyhochadel,dhcmumbai
805,amyjdickens,c40cities
806,amyleen2,journaldunet
807,amynazierah97,myintel
808,amypatel55,wef
809,amyschurr,sureshkito
810,amywildstein,amywildstein
811,amzuit,msftcitynext
812,ana_mation,lah9891
813,anabjain,exagolo
814,anaelle_joubin,scepuebla
815,analteenvideos,-1
816,analyticbridge,wef
817,analytics_us,fndraising
818,analyticsfr,bearlytech
819,analyticsfrance,bigdatatweetbot
820,analytikabycim,bearlytech
821,anamoore_,-1
822,anandhari474,skull_baba
823,anandhjose,skull_baba
824,anandibenpatel,narendramodi
825,anandmohan1977,-1
826,anandpkrishnan,smartcityexpo
827,anandrpathak,bigdatatweetbot
828,anarsimpson,meerakaulfounda
829,anasmbarakoo,bigdatatweetbot
830,anataffy,msftcitynext
831,anbalaganjob,skull_baba
832,ancatdubh,reichental
833,anchorenglish,fndraising
834,ancjhb,-1
835,andaluciadig,faitelandalucia
836,andaluciasmart,faitelandalucia
837,andamannews,-1
838,andegregson,msftcitynext
839,anderscorenews,bearlytech
840,andersfoghr,sureshkito
841,andersontaberah,thinkbigkc
842,andi_staub,bigdatatweetbot
843,andibattops,andibattops
844,andr49287906,-1
845,andre_marteleto,bigdatatweetbot
846,andrea101118,ieeesmartcities
847,andrea21059912,hdscorp
848,andrea_boscaro,fabbriflav2
849,andrea_clements,irek_k
850,andreacritico,michelevianello
851,andreafiorello,ieeesmartcities
852,andreagirones,-1
853,andrealearned,h_u_i_r
854,andrealene,toddpzimmerman
855,andreasmuno,h_u_i_r
856,andreasrades,-1
857,andreathornbury,odibelfast
858,andreaxon,akwyz
859,andrecaro88,andrecaro88
860,andredua,-1
861,andreeadurbaca,msftcitynext
862,andrej_gross,andrej_gross
863,andrepettigrew,makepeaceglobal
864,andres64lg,aguasdetelde
865,andrescramlrez_,craigbrownphd
866,andresjaadla,sureshkito
867,andresmacariog,-1
868,andresmaz,dandoctoroff
869,andresr_,andrecaro88
870,andresrestrepo,wef
871,andreumasd,iambientecities
872,andrew847,-1
873,andrew_barker,compactofmayors
874,andrew_campling,-1
875,andrew_chescoe,sureshkito
876,andrew_dailey,reichental
877,andrewbudsock,wef
878,andrewcollinge,digicatapult
879,andrewconstance,-1
880,andrewwjohnsto1,-1
881,andsmartcity,iambientecities
